id,name,spotify_uri
365,Dean Lewis,spotify:artist:3QSQFmccmX81fWCUSPTS7y
366,John Williams,spotify:artist:3dRfiJ2650SZu6GbydcHNb
367,Becky Hill,spotify:artist:4EPJlUEBy49EX1wuFOvtjK
368,Sam Hunt,spotify:artist:2kucQ9jQwuD8jWdtR9Ef38
369,Sigala,spotify:artist:1IueXOQyABrMOprrzwQJWN
370,Carlos Vives,spotify:artist:4vhNDa5ycK0ST968ek7kRr
371,Rudimental,spotify:artist:4WN5naL3ofxrVBgFpguzKo
372,ScHoolboy Q,spotify:artist:5IcR3N7QB1j6KBL8eImZ8m
373,Marvin Gaye,spotify:artist:3koiLjNrgRTNbOwViDipeA
374,Offset,spotify:artist:4DdkRBBYG6Yk9Ka8tdJ9BW
375,Sam Feldt,spotify:artist:20gsENnposVs2I4rQ5kvrf
376,Iron Maiden,spotify:artist:6mdiAmATAx73kdxrNrnlao
377,Zac Brown Band,spotify:artist:6yJCxee7QumYr820xdIsjo
378,Jax Jones,spotify:artist:4Q6nIcaBED8qUel8bBx6Cr
379,Joan Sebastian,spotify:artist:7FsRH5bw8iWpSbMX1G7xf1
380,Hillsong Worship,spotify:artist:3SgHzT552wy2W8pNLaLk24
381,Kali Uchis,spotify:artist:1U1el3k54VvEUzo3ybLPlM
382,Skillet,spotify:artist:49bzE5vRBRIota4qeHtQM8
383,Juanes,spotify:artist:0UWZUmn7sybxMCqrw9tGa7
384,Blake Shelton,spotify:artist:1UTPBmNbXNTittyMJrNkvw
385,alt-J,spotify:artist:3XHO7cRUPCLOr6jwp8vsx5
386,Chris Stapleton,spotify:artist:4YLtscXsxbVgi031ovDDdh
387,Lil Yachty,spotify:artist:6icQOAFXDZKsumw3YXyusw
388,Quavo,spotify:artist:0VRj0yCOv2FXJNP47XQnx5
389,Feid,spotify:artist:2LRoIwlKmHjgvigdNGBHNo
390,Journey,spotify:artist:0rvjqX7ttXeg3mTy8Xscbt
391,The Vamps,spotify:artist:7gAppWoH7pcYmphCVTXkzs
392,BROCKHAMPTON,spotify:artist:1Bl6wpkWCQ4KVgnASpvzzA
393,Soda Stereo,spotify:artist:7An4yvF7hDYDolN4m5zKBp
394,The Black Keys,spotify:artist:7mnBLXK823vNxN3UWB7Gfz
395,Liam Payne,spotify:artist:5pUo3fmmHT8bhCyHE52hA6
396,Mike Posner,spotify:artist:2KsP6tYLJlTBvSUxnwlVWa
397,Weezer,spotify:artist:3jOstUTkEu2JkjvRdBA5Gu
398,Korn,spotify:artist:3RNrq3jvMZxD9ZyoOZbQOD
399,El Alfa,spotify:artist:2oQX8QiMXOyuqbcZEFsZfm
400,Tim McGraw,spotify:artist:6roFdX1y5BYSbp60OTJWMd
401,Madison Beer,spotify:artist:2kRfqPViCqYdSGhYSM9R0Q
402,Rise Against,spotify:artist:6Wr3hh341P84m3EI8qdn9O
403,The Doors,spotify:artist:22WZ7M8sxp5THdruNY3gXt
404,Maren Morris,spotify:artist:6WY7D3jk8zTrHtmkqqo5GI
405,Mau y Ricky,spotify:artist:2wkoKEfS6dXwThbyTnZWFU
406,Bon Iver,spotify:artist:4LEiUm1SRbFMgfqnQTwUbQ
407,RAF Camora,spotify:artist:0Dvx6p8JDyzeOPGmaCIH1L
408,Carly Rae Jepsen,spotify:artist:6sFIWsNpZYqfjUpaCgueju
409,Why Don't We,spotify:artist:2jnIB6XdLvnJUeNTy5A0J2
410,Vicente Fernández,spotify:artist:4PPoI9LuYeFX8V674Z1R6l
411,A$AP Ferg,spotify:artist:5dHt1vcEm9qb8fCyLcB3HL
412,Juan Gabriel,spotify:artist:2MRBDr0crHWE5JwPceFncq
413,JP Cooper,spotify:artist:4kYGAK2zu9EAomwj3hXkXy
414,PNL,spotify:artist:3NH8t45zOTqzlZgBvZRjvB
415,The Cure,spotify:artist:7bu3H8JO7d0UbMoVzbo70s
416,Mabel,spotify:artist:1MIVXf74SZHmTIp4V4paH4
417,Birdy,spotify:artist:2WX2uTcsvV5OnS0inACecP
418,Papa Roach,spotify:artist:4RddZ3iHvSpGV4dvATac9X
419,Jesse & Joy,spotify:artist:1mX1TWKpNxDSAH16LgDfiR
420,T.I.,spotify:artist:4OBJLual30L7gRl5UkeRcT
421,SAINt JHN,spotify:artist:0H39MdGGX6dbnnQPt6NQkZ
422,Bonez MC,spotify:artist:1aS5tqEs9ci5P9KD9tZWa6
423,Noah Cyrus,spotify:artist:55fhWPvDiMpLnE4ZzNXZyW
424,C. Tangana,spotify:artist:5TYxZTjIPqKM8K8NuP9woO
425,Ludovico Einaudi,spotify:artist:2uFUBdaVGtyMqckSeCl0Qj
426,Depeche Mode,spotify:artist:762310PdDnwsDxAQxzQkfX
427,Destiny's Child,spotify:artist:1Y8cdNmUJH7yBTd9yOvr5i
428,Kenny Chesney,spotify:artist:3grHWM9bx2E9vwJCdlRv9O
429,Paul McCartney,spotify:artist:4STHEaNw4mPZ2tzheohgXB
430,Eric Church,spotify:artist:2IvkS5MXK0vPGnwyJsrEyV
431,Dave,spotify:artist:6Ip8FS7vWT1uKkJSweANQK
432,Eric Clapton,spotify:artist:6PAt558ZEZl0DmdXlnjMgD
433,EXO,spotify:artist:3cjEqqelV9zb4BYE3qDQ4O
434,Simon & Garfunkel,spotify:artist:70cRZdQywnSFp9pnc2WTCE
435,TINI,spotify:artist:7vXDAI8JwjW531ouMGbfcp
436,Norah Jones,spotify:artist:2Kx7MNY7cI1ENniW7vT30N
437,Iggy Azalea,spotify:artist:5yG7ZAZafVaAlMTeBybKAL
438,George Michael,spotify:artist:19ra5tSw0tWufvUp8GotLo
439,De La Ghetto,spotify:artist:3EiLUeyEcA6fbRPSHkG5kb
440,Nacho,spotify:artist:2ayNSoKPCRAfjp6hQ76hRu
441,bbno$,spotify:artist:41X1TR6hrK8Q2ZCpp2EqCz
442,The Beach Boys,spotify:artist:3oDbviiivRWhXwIE8hxkVV
443,The Game,spotify:artist:0NbfKEOTQCcwd6o7wSDOHI
444,Bibi und Tina,spotify:artist:2x8vG4f0HYXzMEo3xNsoiI
445,Ufo361,spotify:artist:5pVRwX5ZQR7hfJ18w8ZYkl
446,R.E.M.,spotify:artist:4KWTAlx2RvbpseOGMEmROg
447,Aminé,spotify:artist:3Gm5F95VdRxW3mqCn8RPBJ
448,AJR,spotify:artist:6s22t5Y3prQHyaHWUN1R1C
449,Christina Perri,spotify:artist:7H55rcKCfwqkyDFH9wpKM6
450,X Ambassadors,spotify:artist:3NPpFNZtSTHheNBaWC82rB
451,Breaking Benjamin,spotify:artist:5BtHciL0e0zOP7prIHn3pP
452,"Earth, Wind & Fire",spotify:artist:4QQgXkCYTt3BlENzhyNETg
453,Nick Jonas,spotify:artist:4Rxn7Im3LGfyRkY2FlHhWi
454,Rich The Kid,spotify:artist:1pPmIToKXyGdsCF6LmqLmI
455,Jimi Hendrix,spotify:artist:776Uo845nYHJpNaStv1Ds4
456,The Smiths,spotify:artist:3yY2gUcIsjMr8hjo51PoJ8
457,Dermot Kennedy,spotify:artist:5KNNVgR6LBIABRIomyCwKJ
458,SEVENTEEN,spotify:artist:7nqOGRxlXj7N2JYbgNEjYH
459,Milky Chance,spotify:artist:1hzfo8twXdOegF3xireCYs
460,Volbeat,spotify:artist:0L5fC7Ogm2YwgqVCRcF1bT
461,Dimitri Vegas & Like Mike,spotify:artist:73jBynjsVtofjRpdpRAJGk
462,Sabrina Carpenter,spotify:artist:74KM79TiuVKeVCqs8QtB0B
463,Robbie Williams,spotify:artist:2HcwFjNelS49kFbfvMxQYw
464,Matoma,spotify:artist:4YXycRbyyAE0wozTk7QMEq
465,Years & Years,spotify:artist:5vBSrE1xujD2FXYRarbAXc
466,Mitski,spotify:artist:2uYWxilOVlUdk4oV9DvwqK
467,Jon Bellion,spotify:artist:50JJSqHUf2RQ9xsHs0KMHg
468,The xx,spotify:artist:3iOvXCl6edW5Um0fXEBRXy
469,Van Morrison,spotify:artist:44NX2ffIYHr6D4n7RaZF7A
470,Nelly Furtado,spotify:artist:2jw70GZXlAI8QzWeY2bgRc
471,Luciano,spotify:artist:3Vszg64mczF1dWEcW2dU5W
472,B.o.B,spotify:artist:5ndkK3dpZLKtBklKjxNQwT
473,T-Pain,spotify:artist:3aQeKQSyrW4qWr35idm0cy
474,Lynyrd Skynyrd,spotify:artist:4MVyzYMgTwdP7Z49wAZHx0
475,Stormzy,spotify:artist:2SrSdSvpminqmStGELCSNd
476,Sfera Ebbasta,spotify:artist:23TFHmajVfBtlRx5MXqgoz
477,Rick Ross,spotify:artist:1sBkRIssrMs1AbVkOJbc7a
478,Cali Y El Dandee,spotify:artist:5DUlefCLzVRzNWaNURTFpK
479,Kid Ink,spotify:artist:6KZDXtSj0SzGOV705nNeh3
480,Shinedown,spotify:artist:70BYFdaZbEKbeauJ670ysI
481,Van Halen,spotify:artist:2cnMpRsOVqtPMfq7YiFE6K
482,Limp Bizkit,spotify:artist:165ZgPlLkK7bf5bDoFc6Sb
483,The Fray,spotify:artist:0zOcE3mg9nS6l3yxt1Y0bK
484,The Cranberries,spotify:artist:7t0rwkOPGlDPEhaOcVtOt9
485,Black Sabbath,spotify:artist:5M52tdBnJaKSvOpJGz8mfZ
486,All Time Low,spotify:artist:46gyXjRIvN1NL1eCB8GBxo
487,DNCE,spotify:artist:6T5tfhQCknKG4UnH90qGnz
488,El Fantasma,spotify:artist:0my6Pg4I28dVcZLSpAkqhv
489,Damso,spotify:artist:2UwqpfQtNuhBwviIC0f2ie
490,Andy Grammer,spotify:artist:2oX42qP5ineK3hrhBECLmj
491,Rage Against The Machine,spotify:artist:2d0hyoQ5ynDBnkvAbJKORj
492,Luan Santana,spotify:artist:3qvcCP2J0fWi0m0uQDUf6r
493,Juan Magán,spotify:artist:1ackd5XprZEkH3McKbQD51
494,KYLE,spotify:artist:4qBgvVog0wzW75IQ48mU7v
495,Keith Urban,spotify:artist:0u2FHSq3ln94y5Q57xazwf
496,Daryl Hall & John Oates,spotify:artist:77tT1kLj6mCWtFNqiOmP9H
497,Sabaton,spotify:artist:3o2dn2O0FCVsWDFSh8qxgG
498,MGMT,spotify:artist:0SwO7SWeDHJijQ3XNS7xEE
499,Kodaline,spotify:artist:4BxCuXFJrSWGi1KHcVqaU4
500,Aya Nakamura,spotify:artist:7IlRNXHjoOCgEAWN5qYksg
501,Plan B,spotify:artist:2jSGzJw0ebJLu7OLVSOcBP
502,Rag'n'Bone Man,spotify:artist:4f9iBmdUOhQWeP7dcAn1pf
503,Shaggy,spotify:artist:5EvFsr3kj42KNv97ZEnqij
504,Of Monsters and Men,spotify:artist:4dwdTW1Lfiq0cM8nBAqIIz
505,Rod Stewart,spotify:artist:2y8Jo9CKhJvtfeKOsYzRdT
506,The White Stripes,spotify:artist:4F84IBURUo98rz4r61KF70
507,Hollywood Undead,spotify:artist:0CEFCo8288kQU7mJi25s6E
508,Gerardo Ortiz,spotify:artist:4J13m9IZh03PEhoxAxRhXO
509,A Day To Remember,spotify:artist:4NiJW4q9ichVqL1aUsgGAN
510,Quinn XCII,spotify:artist:3ApUX1o6oSz321MMECyIYd
511,Ice Cube,spotify:artist:3Mcii5XWf6E0lrY3Uky4cA
512,Clairo,spotify:artist:3l0CmX0FuQjFxr8SK7Vqag
513,Swedish House Mafia,spotify:artist:1h6Cn3P4NGzXbaXidqURXs
514,League of Legends,spotify:artist:47mIJdHORyRerp4os813jD
515,Eladio Carrion,spotify:artist:5XJDexmWFLWOkjOEjOVX3e
516,Prince,spotify:artist:5a2EaR3hamoenG9rDuVn8j
517,Brytiago,spotify:artist:00XhexlJEXQstHimpZN910
518,Casper Magico,spotify:artist:1fux65HMCBvfJHqlBc4Nno
519,José José,spotify:artist:4mN0qcMxWX8oToqfDPM5yV
520,Evanescence,spotify:artist:5nGIFgo0shDenQYSE0Sn7c
521,Sublime,spotify:artist:0EdvGhlC1FkGItLOWQzG4J
522,Tom Odell,spotify:artist:2txHhyCwHjUEpJjWrEyqyX
523,Cigarettes After Sex,spotify:artist:1QAJqy2dA3ihHBFIHRphZj
524,Bryant Myers,spotify:artist:6w9ToX5slZ4uIdmD17hJ3c
525,Axwell /\ Ingrosso,spotify:artist:2XnBwblw31dfGnspMIwgWz
526,Red Velvet,spotify:artist:1z4g3DjTBBZKhvAroFlhOM
527,George Strait,spotify:artist:5vngPClqofybhPERIqQMYd
528,Carlos Rivera,spotify:artist:39yVoqm6sYFvvqF1RciUVf
529,Carrie Underwood,spotify:artist:4xFUf1FHVy696Q1JQZMTRj
530,Enya,spotify:artist:6uothxMWeLWIhsGeF7cyo4
531,Pedro Capó,spotify:artist:4QVBYiagIaa6ZGSPMbybpy
532,Aretha Franklin,spotify:artist:7nwUJBm0HE4ZxD3f5cy5ok
533,Ozzy Osbourne,spotify:artist:6ZLTlhejhndI4Rh53vYhrY
534,Scorpions,spotify:artist:27T030eWyCQRmDyuvr1kxY
535,Nas,spotify:artist:20qISvAhX20dpIbOOzGK3q
536,ODESZA,spotify:artist:21mKp7DqtSNHhCAU2ugvUw
537,Joyner Lucas,spotify:artist:6C1ohJrd5VydigQtaGy5Wa
538,PnB Rock,spotify:artist:21WS9wngs9AqFckK7yYJPM
539,Zoé,spotify:artist:6IdtcAwaNVAggwd6sCKgTI
540,KISS,spotify:artist:07XSN3sPlIlB2L2XNcTwJw
541,WALK THE MOON,spotify:artist:6DIS6PRrLS3wbnZsf7vYic
542,Danna Paola,spotify:artist:5xSx2FM8mQnrfgM1QsHniB
543,Don Diablo,spotify:artist:1l2ekx5skC4gJH8djERwh1
544,Jorja Smith,spotify:artist:1CoZyIx7UvdxT5c8UkMzHd
545,Los Tigres Del Norte,spotify:artist:3hYtANQYrE6pd2PbtEyTIy
546,Gryffin,spotify:artist:2ZRQcIgzPCVaT9XKhXZIzh
547,RAYE,spotify:artist:5KKpBU5eC2tJDzf0wmlRp2
548,The Smashing Pumpkins,spotify:artist:40Yq4vzPs9VNUrIBG5Jr2i
549,Sum 41,spotify:artist:0qT79UgT5tY4yudH9VfsdT
550,Alan Jackson,spotify:artist:4mxWe1mtYIYfP040G38yvS
551,Marco Antonio Solís,spotify:artist:3tJnB0s6c3oXPq1SCCavnd
552,Ella Mai,spotify:artist:7HkdQ0gt53LP4zmHsL0nap
553,Marilyn Manson,spotify:artist:2VYQTNDsvvKN9wmU5W7xpj
554,Joey Bada$$,spotify:artist:2P5sC9cVZDToPxyomzF1UH
555,Lord Huron,spotify:artist:6ltzsmQQbmdoHHbLZ4ZN25
556,Sleeping At Last,spotify:artist:0MeLMJJcouYXCymQSHPn8g
557,Astrid S,spotify:artist:3AVfmawzu83sp94QW7CEGm
558,TKKG,spotify:artist:61qDotnjM0jnY5lkfOP7ve
559,Sido,spotify:artist:4Yttlv9ndGjCDCVLqM7ACq
560,Colbie Caillat,spotify:artist:6aZyMrc4doVtZyKNilOmwu
561,Banda El Recodo,spotify:artist:6AcOTCYBMvjKYy4zms0kaC
562,Rascal Flatts,spotify:artist:0a1gHP0HAqALbEyxaD5Ngn
563,Dolly Parton,spotify:artist:32vWCbZh0xZ4o9gkz4PsEU
564,3 Doors Down,spotify:artist:2RTUTCvo6onsAnheUk3aL9
565,Wale,spotify:artist:67nwj3Y5sZQLl72VNUHEYE
566,Moneybagg Yo,spotify:artist:3tJoFztHeIJkJWMrx0td2f
567,Electric Light Orchestra,spotify:artist:7jefIIksOi1EazgRTfW2Pk
568,Two Door Cinema Club,spotify:artist:536BYVgOnRky0xjsPT96zl
569,Hardwell,spotify:artist:6BrvowZBreEkXzJQMpL174
570,Brent Faiyaz,spotify:artist:3tlXnStJ1fFhdScmQeLpuG
571,Chase Atlantic,spotify:artist:7cYEt1pqMgXJdq00hAwVpT
572,Kontra K,spotify:artist:4lDiJcOJ2GLCK6p9q5BgfK
573,Bethel Music,spotify:artist:26T4yOaOoFJvUvxR87Y9HO
574,Louis Tomlinson,spotify:artist:57WHJIHrjOE3iAxpihhMnp
575,The Clash,spotify:artist:3RGLhK1IP9jnYFH4BRFJBS
576,Noriel,spotify:artist:3RtNN1VnooWEn3KQk03DUL
577,gnash,spotify:artist:3iri9nBFs9e4wN7PLIetAw
578,MC Kevinho,spotify:artist:1mXAhKnZEdF6rotyyd4GBi
579,David Bisbal,spotify:artist:5gOJTI4TusSENizxhcG7jB
580,Pharrell Williams,spotify:artist:2RdwBSPQiwcmiDo9kixcl8
581,Kacey Musgraves,spotify:artist:70kkdajctXSbqSMJbQO424
582,Leon Bridges,spotify:artist:3qnGvpP8Yth1AqSBMqON5x
583,Chief Keef,spotify:artist:15iVAtD3s3FsQR4w1v6M0P
584,Martin Jensen,spotify:artist:4ehtJnVumNf6xzSCDk8aLB
585,Stromae,spotify:artist:5j4HeCoUlzhfWtjAfM1acR
586,Annie Lennox,spotify:artist:5MspMQqdVbdwP6ax3GXqum
587,Ruth B.,spotify:artist:2WzaAvm2bBCf4pEhyuDgCY
588,Duran Duran,spotify:artist:0lZoBs4Pzo7R89JM9lxwoT
589,Bing Crosby,spotify:artist:6ZjFtWeHP9XN7FeKSUe80S
590,Seeb,spotify:artist:5iNrZmtVMtYev5M9yoWpEq
591,Ms. Lauryn Hill,spotify:artist:2Mu5NfyYm8n5iTomuKAEHl
592,Arizona Zervas,spotify:artist:0vRvGUQVUjytro0xpb26bs
593,Santa Fe Klan,spotify:artist:4tm8CEdm4pkQsEh4jIr9Yp
594,Westlife,spotify:artist:5Z1CCuBsyhEHngq3U5IraY
595,The Kooks,spotify:artist:1GLtl8uqKmnyCWxHmw9tL4
596,Mike WiLL Made-It,spotify:artist:0NWbwDZY1VkRqFafuQm6wk
597,Elevation Worship,spotify:artist:3YCKuqpv9nCsIhJ2v8SMix
598,M83,spotify:artist:63MQldklfxkjYDoUE4Tppz
599,Portugal. The Man,spotify:artist:4kI8Ie27vjvonwaB2ePh8T
600,R. Kelly,spotify:artist:2mxe0TnaNL039ysAj51xPQ
601,Dilsinho,spotify:artist:4NUePmzDvCYqilXBFa91Hg
602,Charlie Brown Jr.,spotify:artist:1on7ZQ2pvgeQF4vmIA09x5
603,Ha*Ash,spotify:artist:5xd2Tg7Zo8755eCy8Gxkp8
604,Gwen Stefani,spotify:artist:4yiQZ8tQPux8cPriYMWUFP
605,Mötley Crüe,spotify:artist:0cc6vw3VN8YlIcvr1v7tBL
606,Jessie Reyez,spotify:artist:3KedxarmBCyFBevnqQHy3P
607,Owl City,spotify:artist:07QEuhtrNmmZ0zEcqE9SF6
608,Nekfeu,spotify:artist:4LXBc13z5EWsc5N32bLxfH
609,Queens of the Stone Age,spotify:artist:4pejUc4iciQfgdX6OKulQn
610,Cosculluela,spotify:artist:00me4Ke1LsvMxt5kydlMyU
611,Keane,spotify:artist:53A0W3U0s8diEn9RhXQhVz
612,Tee Grizzley,spotify:artist:6AUl0ykLLpvTktob97x9hO
613,Ezhel,spotify:artist:6LnJKrtFnTEGdbWQ2riWCL
614,Gigi D'Agostino,spotify:artist:1OAjDaKgg00KCUYqDe68un
615,DMX,spotify:artist:1HwM5zlC5qNWhJtM00yXzG
616,Bruno & Marrone,spotify:artist:5JXhkyafynxCvxtov7C1PV
617,Yung Gravy,spotify:artist:2YOYua8FpudSEiB9s88IgQ
618,Desiigner,spotify:artist:7pFeBzX627ff0VnN6bxPR4
619,Timmy Trumpet,spotify:artist:0CbeG1224FS58EUx4tPevZ
620,Thirty Seconds To Mars,spotify:artist:0RqtSIYZmd4fiBKVFqyIqD
621,Denzel Curry,spotify:artist:6fxyWrfmjcbj5d12gXeiNV
622,Jay Chou,spotify:artist:2elBjNSdBE2Y3f0j1mjrql
623,Chelsea Cutler,spotify:artist:5JMLG56F1X5mFmWNmS0iAp
624,Alex Rose,spotify:artist:2DspEsT7UXGKd2VaaedgG4
625,Olly Murs,spotify:artist:3whuHq0yGx60atvA2RCVRW
626,Vampire Weekend,spotify:artist:5BvJzeQpmsdsFp4HGUYUEx
627,Miranda Lambert,spotify:artist:66lH4jAE7pqPlOlzUKbwA0
628,Santana,spotify:artist:6GI52t8N5F02MxU0g5U69P
629,The Goo Goo Dolls,spotify:artist:2sil8z5kiy4r76CRTXxBCA
630,Aloe Blacc,spotify:artist:0id62QV2SZZfvBn9xpmuCl
631,Wham!,spotify:artist:5lpH0xAS4fVfLkACg9DAuM
632,Willy William,spotify:artist:4RSyJzf7ef6Iu2rnLdabNq
633,MAX,spotify:artist:1bqxdqvUtPWZri43cKHac8
634,Dierks Bentley,spotify:artist:7x8nK0m0cP2ksQf0mjWdPS
635,The Who,spotify:artist:67ea9eGLXYMsO2eYQRui3w
636,Granular,spotify:artist:1jfnMuDBl5OaAoU0VwLD8m
637,Stefflon Don,spotify:artist:2ExGrw6XpbtUAJHTLtUXUD
638,La Oreja de Van Gogh,spotify:artist:4U7lXyKdSf1JbM1aXvsodC
639,OMI,spotify:artist:5MouCg6ta7zAxsfMEbc1uh
640,Alice In Chains,spotify:artist:64tNsm6TnZe2zpcMVMOoHL
641,John Lennon,spotify:artist:4x1nvY2FN8jxqAFA0DA02H
642,Los Temerarios,spotify:artist:3YbOSxo85kla7RID8ugnW3
643,Loud Luxury,spotify:artist:6t1gpxYbY8OlLA7D2RiikQ
644,Ghostemane,spotify:artist:3uL4UpqShC4p2x1dJutoRW
645,Snow Patrol,spotify:artist:3rIZMv9rysU7JkLzEaC5Jp
646,Lee Brice,spotify:artist:5Zq7R5qmi58ByYyBQTlNuk
647,James TW,spotify:artist:0B3N0ZINFWvizfa8bKiz4v
648,Louis Armstrong,spotify:artist:19eLuQmk9aCobbVDHc6eek
649,Beret,spotify:artist:0ZHPrnImGh4re3TbSNkoZl
650,Shania Twain,spotify:artist:5e4Dhzv426EvQe3aDb64jL
651,Calle 13,spotify:artist:0yNSzH5nZmHzeE2xn6Xshb
652,Booba,spotify:artist:58wXmynHaAWI5hwlPZP3qL
653,Niska,spotify:artist:7CUFPNi1TU8RowpnFRSsZV
654,Ciara,spotify:artist:2NdeV5rLm47xAvogXrYhJX
655,Incubus,spotify:artist:3YcBF2ttyueytpXtEzn1Za
656,MØ,spotify:artist:0bdfiayQAKewqEvaU6rXCv
657,Mon Laferte,spotify:artist:4boI7bJtmB1L3b1cuL75Zr
658,Conor Maynard,spotify:artist:6mU8ucezzms5I2kNH6HNlu
659,Ella Fitzgerald,spotify:artist:5V0MlUE1Bft0mbLlND7FJz
660,Sting,spotify:artist:0Ty63ceoRnnJKVEYP0VQpk
661,Vintage Culture,spotify:artist:28uJnu5EsrGml2tBd7y8ts
662,Kevin Roldan,spotify:artist:1RBzGO6Nm3uyhUSxP7EDWO
663,Nat King Cole,spotify:artist:7v4imS0moSyGdXyLgVTIV7
664,Yo Gotti,spotify:artist:6Ha4aES39QiVjR0L2lwuwq
665,Two Feet,spotify:artist:5sWHDYs0csV6RS48xBl0tH
666,Taio Cruz,spotify:artist:6MF9fzBmfXghAz953czmBC
667,Old Dominion,spotify:artist:6y8XlgIV8BLlIg1tT1R10i
668,Dean Martin,spotify:artist:49e4v89VmlDcFCMyDv9wQ9
669,Oliver Tree,spotify:artist:6TLwD7HPWuiOzvXEa3oCNe
670,John Newman,spotify:artist:34v5MVKeQnIo0CWYMbbrPf
671,Sara Bareilles,spotify:artist:2Sqr0DXoaYABbjBo9HaMkM
672,Michael Silverman,spotify:artist:59PMoeYMK4U67YYzVWZGoi
673,Burna Boy,spotify:artist:3wcj11K77LjEY1PkEazffa
674,Chayanne,spotify:artist:1JbemQ1fPt2YmSLjAFhPBv
675,a-ha,spotify:artist:2jzc5TC5TVFLXQlBNiIUzE
676,The Jackson 5,spotify:artist:2iE18Oxc8YSumAU232n4rW
677,Fergie,spotify:artist:3r17AfJCCUqC9Lf0OAc73G
678,The Pussycat Dolls,spotify:artist:6wPhSqRtPu1UhRCDX5yaDJ
679,Roxette,spotify:artist:2SHhfs4BiDxGQ3oxqf0UHY
680,Leona Lewis,spotify:artist:5lKZWd6HiSCLfnDGrq9RAm
681,Natalia Lafourcade,spotify:artist:1hcdI2N1023RvSwLzTtdsp
682,Mora,spotify:artist:2ll4HtFU0FVDlUwolO3eSq
683,Los Tucanes De Tijuana,spotify:artist:014WIDx7H4BRCHB1faiisK
684,AJ Tracey,spotify:artist:4Xi6LSfFqv26XgP9NKN26U
685,Sean Kingston,spotify:artist:6S0dmVVn4udvppDhZIWxCr
686,Steve Lacy,spotify:artist:57vWImR43h4CaDao012Ofp
687,Jon Pardi,spotify:artist:4MoAOfV4ROWofLG3a3hhBN
688,fun.,spotify:artist:5nCi3BB41mBaMH9gfr6Su0
689,Ben Howard,spotify:artist:5schNIzWdI9gJ1QRK8SBnc
690,Tears For Fears,spotify:artist:4bthk9UfsYUYdcFyqxmSUU
691,Mike Perry,spotify:artist:6lB8vOoI4DRrrVxXwuV19c
692,Oliver Heldens,spotify:artist:5nki7yRhxgM509M5ADlN1p
693,Martin Solveig,spotify:artist:1bj5GrcLom5gZFF5t949Xl
694,Darell,spotify:artist:1TtXnWcUs0FCkaZDPGYHdf
695,CHVRCHES,spotify:artist:3CjlHNtplJyTf9npxaPl5w
696,Julieta Venegas,spotify:artist:2QWIScpFDNxmS6ZEMIUvgm
697,Kylie Minogue,spotify:artist:4RVnAU35WRWra6OZ3CbbMA
698,Gente De Zona,spotify:artist:2cy1zPcrFcXAJTP0APWewL
699,Deftones,spotify:artist:6Ghvu1VvMGScGpOUJBAHNH
700,Melendi,spotify:artist:1EXjXQpDx2pROygh8zvHs4
701,Seether,spotify:artist:6B5c4sch27tWHAGdarpPaW
702,DJ Luian,spotify:artist:64aJYyrXljOodnUG6jvhRD
703,MKTO,spotify:artist:2l35CQqtYRh3d8ZIiBep4v
704,Mambo Kingz,spotify:artist:2T1aUibqR2QC2sINIDQOAK
705,Lionel Richie,spotify:artist:3gMaNLQm7D9MornNILzdSl
706,IU,spotify:artist:3HqSLMAZ3g3d5poNaI7GOU
707,Lil Dicky,spotify:artist:1tqhsYv8yBBdwANFNzHtcr
708,Intocable,spotify:artist:108moq3rq6bm1M4Ypz0J02
709,Sin Bandera,spotify:artist:7xeM7V59cA1X8GKyKKQV87
710,Daya,spotify:artist:6Dd3NScHWwnW6obMFbl1BH
711,Chris Young,spotify:artist:4BYxqVkZyFjtik7crYLg5Q
712,Tech N9ne,spotify:artist:6UBA15slIuadJ8h2lPRPos
713,Arcade Fire,spotify:artist:3kjuyTCjPG1WMFCiyc5IuB
714,Mother Mother,spotify:artist:0e86yPdC41PGRkLp2Q1Bph
715,Yusuf / Cat Stevens,spotify:artist:08F3Y3SctIlsOEmKd6dnH8
716,MAGIC!,spotify:artist:0DxeaLnv6SyYk2DOqkLO8c
717,Greeicy,spotify:artist:5dbaLmK5SHLLg8Z4CcTJpX
718,Simple Plan,spotify:artist:2p4FqHnazRucYQHyDCdBrJ
719,Dido,spotify:artist:2mpeljBig2IXLXRAFO9AAs
720,Paul Simon,spotify:artist:2CvCyf1gEVhI0mX6aFXmVI
721,Dennis Lloyd,spotify:artist:3EOEK57CV77D4ovYVcmiyt
722,Alfredo Olivas,spotify:artist:5xYNmNkaWRqu3e5F4UXME8
723,Wolfgang Amadeus Mozart,spotify:artist:4NJhFmfw43RLBLjQvxDuRS
724,YUNGBLUD,spotify:artist:6Ad91Jof8Niiw0lGLLi3NW
725,Sade,spotify:artist:47zz7sob9NUcODy0BTDvKx
726,Juan Luis Guerra 4.40,spotify:artist:3nlpTZci9O5W8RsNoNH559
727,La Adictiva Banda San José de Mesillas,spotify:artist:49EE6lVLgU8sp7dFgPshgM
728,KSI,spotify:artist:1nzgtKYFckznkcVMR3Gg4z
729,Bullet For My Valentine,spotify:artist:7iWiAD5LLKyiox2grgfmUT
730,Selena,spotify:artist:6IE6z7DcZIT4Ml3Fh5Ivch
